athleteId,name,position,year,count3Misses,prHit3Misses,count2Misses,prHit2Misses,count1Miss,prHit1Miss,countHit,prHit,count1Make,prHit1Make,count2Makes,prHit2Makes,count3Makes,prHit3Makes
5106247,Cooper Noard,G,SR,26,0.48953009168527506,67,0.5329230287791071,155,0.5211313697989711,346,0.5,163,0.4615719747488219,69,0.46815851999874186,30,0.41046990831472496
5175900,Jake Fiegen,G,SR,24,0.6077180132786704,50,0.45337241124092253,111,0.5114744523139347,269,0.546468401486988,134,0.5837818343228097,70,0.5619865851613309,37,0.5513638904089153
5106243,Adam Hinton,G,SR,18,0.7092398495305717,49,0.5658729096221629,119,0.5359444846448949,259,0.482625482625482,112,0.4484338990152939,42,0.4586257459179684,15,0.5487921254204906
5175898,Jacob Beccles,G,JR,11,0.3445566384893046,28,0.38466031749569407,70,0.39721545422902893,170,0.470588235294117,72,0.5309103917701194,34,0.5100025389017795,15,0.4257963591355972
5106245,Josh Baldwin,G,SR,10,0.4785281170744444,26,0.4520969045230109,63,0.45703807811075314,138,0.44927536231884,50,0.4440198878662858,17,0.425102558198992,6,0.36969892120792863
5108938,Emily Pape,F,SR,36,0.4105452512128604,79,0.3766130297504431,159,0.38870912907196176,283,0.346289752650176,97,0.2909779152589349,28,0.3306059715122338,9,0.3639564637652018
5176408,Rachel Kaus,G,JR,31,0.5063928844377571,67,0.42837013957416953,138,0.43319004067972633,275,0.436363636363636,110,0.42023888520238867,41,0.34833262098221196,10,0.5185138814195253
5176410,Clarke Jackson,G,JR,17,0.574732187398226,48,0.5565640180618948,102,0.4489336883246527,227,0.462555066079295,98,0.48196991166354564,45,0.47430982674556016,20,0.4697255508517093
5241809,Paige Engels,G,SO,10,0.48560610967214146,31,0.5415615539109357,75,0.41081761006289275,160,0.4,58,0.3313597918022113,17,0.36651907138157674,5,0.2407670276546795
5241811,Audrey Chen,G,SO,16,0.2971363738980918,30,0.32564998019089414,62,0.3518689863687126,118,0.347457627118644,31,0.3604159949157211,8,0.397615413239694,1,1.070921738392078
