athleteId,count,distance,count3Misses,distance3Misses,count2Misses,distance2Misses,count1Miss,distance1Miss,count1Make,distance1Make,count2Makes,distance2Makes,count3Makes,distance3Makes
5106245,138,13.11959599616672,10,13.877558632109876,26,13.402875248326355,63,11.456300000614984,50,14.596390265612918,17,17.380117786602565,6,14.668634088386677
5108938,283,18.854445554025805,36,17.880458357416362,79,19.019056565313548,159,18.761649102858176,97,19.203611123897637,28,18.084264872486195,9,16.74382823280177
5175900,269,14.890666392136817,24,11.957167361374117,50,13.355297224001008,111,14.32009757849264,134,14.257135453277849,70,15.121081348003628,37,16.49600776068324
5176408,275,9.229554298696222,31,9.818771277028043,67,9.322275119117966,138,8.47848200796953,110,10.44823249912062,41,10.55277871837142,10,9.25786216072881
5106247,346,17.781518732549394,26,16.868237484171296,67,15.769767135830401,155,17.421236297841524,163,18.25687194749859,69,16.841404205764746,30,17.316232001031914
5176410,227,9.99461611887105,17,8.78106569586545,48,9.69074320856648,102,9.347288615201931,98,10.388500336545786,45,10.520870170066265,20,10.083277983389264
5241809,160,12.653435921926908,10,11.504627398361436,31,12.520021759030643,75,13.185136169440359,58,12.393104153197534,17,12.537646704230701,5,8.55512772018445
5175898,170,11.382476979233102,11,8.196493975863584,28,10.849634933369785,70,11.750334252377495,72,11.621871350843897,34,12.144037670995049,15,10.866505168548201
5106243,259,16.27274960934061,18,10.451024952854512,49,14.39826436701643,119,14.678368587689341,112,17.781499376929105,42,17.666388108692104,15,17.52598135974734
5241811,118,18.808792102193955,16,17.130336933827646,30,18.923484694660324,62,19.712737776994484,31,17.465338933348075,8,18.729008979346087,1,26.40075756488817
