athleteId,countHit,prHit,count3Misses,prHit3Misses,count2Misses,prHit2Misses,count1Miss,prHit1Miss,count1Make,prHit1Make,count2Makes,prHit2Makes,count3Makes,prHit3Makes
5106245,138,0.4492753623188406,10,0.5,26,0.46153846153846156,63,0.4603174603174603,50,0.44,17,0.4117647058823529,6,0.3333333333333333
5106243,259,0.4826254826254826,18,0.7222222222222222,49,0.5714285714285714,119,0.5378151260504201,112,0.44642857142857145,42,0.4523809523809524,15,0.5333333333333333
5175898,170,0.47058823529411764,11,0.36363636363636365,28,0.39285714285714285,70,0.4,72,0.5277777777777778,34,0.5,15,0.4
5176404,98,0.47959183673469385,3,0.0,10,0.4,38,0.5263157894736842,33,0.45454545454545453,10,0.5,1,0.0
4684840,79,0.4177215189873418,6,0.5,15,0.5333333333333333,33,0.36363636363636365,22,0.5,8,0.5,3,0.6666666666666666
5106247,346,0.5,26,0.5,67,0.5373134328358209,155,0.5225806451612903,163,0.4601226993865031,69,0.463768115942029,30,0.4
5175900,269,0.5464684014869888,24,0.625,50,0.46,111,0.5135135135135135,134,0.582089552238806,70,0.5571428571428572,37,0.5405405405405406
5241718,74,0.5675675675675675,1,1.0,6,0.8333333333333334,20,0.6,34,0.5,11,0.45454545454545453,1,1.0
5241717,55,0.4909090909090909,3,0.3333333333333333,9,0.4444444444444444,19,0.42105263157894735,20,0.55,7,0.5714285714285714,1,1.0
5196671,64,0.40625,,,7,0.42857142857142855,21,0.38095238095238093,19,0.3684210526315789,4,0.5,1,0.0
5241716,58,0.6724137931034483,,,2,1.0,13,0.7692307692307693,30,0.6666666666666666,15,0.6666666666666666,6,0.8333333333333334
5313688,27,0.7037037037037037,,,,,4,1.0,11,0.7272727272727273,4,0.5,1,0.0
5313690,28,0.42857142857142855,6,0.5,10,0.4,14,0.2857142857142857,6,0.6666666666666666,2,0.5,,
5175897,52,0.4807692307692308,3,0.3333333333333333,7,0.42857142857142855,21,0.5714285714285714,16,0.3125,3,0.0,,
5313691,19,0.2631578947368421,4,0.25,7,0.2857142857142857,11,0.2727272727272727,4,0.5,1,0.0,,
5241719,9,0.4444444444444444,,,1,1.0,3,0.3333333333333333,3,0.3333333333333333,1,0.0,,
5174972,9,0.3333333333333333,,,1,0.0,2,0.0,1,0.0,,,,
