0,1,2,3,4,5,6,7,8
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.5,0.75,0.0,0.0,0.0,0.0,0.0,0.0
0.19642857142857142,0.41666666666666663,0.675,0.25,0.5,0.75,0.0,0.0,0.0
0.18243243243243246,0.40476190476190477,0.6785714285714286,0.19642857142857142,0.41666666666666663,0.675,0.25,0.5,0.75
0.17821428571428571,0.4083333333333333,0.6904411764705882,0.178125,0.3854166666666667,0.640625,0.19642857142857142,0.41666666666666663,0.675
0.17778489116517285,0.4161290322580645,0.700733137829912,0.16920731707317072,0.375,0.6425970873786407,0.178125,0.3854166666666667,0.640625
0.17912830412830413,0.4246031746031746,0.7085164835164836,0.16413975782038345,0.37073643410852714,0.6470707656612529,0.16856971153846154,0.36875,0.62109375
0.1813688002495497,0.4325084364454443,0.7143314934470401,0.16107708152645273,0.3704787234042553,0.655718537414966,0.16274485798237023,0.3604609929078014,0.6214175257731959
0.18406263247138618,0.4394607843137255,0.7187614442664225,0.15917270304438447,0.3721570717839374,0.6642250504283918,0.1588594493893604,0.35545171339563864,0.6226346433770015
0.1869616831847871,0.4454229180256577,0.7222250832560854,0.15800122397374508,0.3750548801080716,0.67245708066778,0.1561133218325937,0.3526060424169668,0.6259659844216109
0.18991849136001343,0.4504887585532747,0.7250007152564194,0.15732131992251913,0.37864560786435786,0.6798228115194482,0.15409349942442044,0.35124656593406595,0.6314782622235438
0.19284258290581668,0.45478971443798016,0.7272729060867043,0.1569867501028322,0.3826423324150597,0.686324303676967,0.15256433595610694,0.3508196692295711,0.6372385623562195
0.19567814170145775,0.45845543345543344,0.7291667113701529,0.15690349297917344,0.38684809819859567,0.6919711840721945,0.15138237827465648,0.35106400987831354,0.6432255682225482
0.1983915439826968,0.4615995041462017,0.7307692419451018,0.15700835111000286,0.39113490721740524,0.6968596093261052,0.1504551057574729,0.35179771908163915,0.6492489106614254
0.20096386811249764,0.46431623372659814,0.7321428599368249,0.15725723850335868,0.3954142491592969,0.7010873809547044,0.14972017059967752,0.35289024890687476,0.6550556845148843
0.20338611547466104,0.46668192592140467,0.7333333340318252,0.1576184408107865,0.3996255284163115,0.704753497787498,0.14913403461065253,0.35425361426986046,0.6605961868481215
0.20565601629256092,0.46875762951094835,0.734375000174623,0.15806853904513624,0.4037270584562569,0.7079455284332884,0.14866537044278233,0.35582294651537205,0.6658209942557819
0.2077758227576422,0.4705920500204873,0.7352941176907146,0.15858984652830316,0.4076907973899782,0.7107391993680492,0.14829106103401962,0.3575496301674833,0.670700258267582
0.20975075185649175,0.472224129578131,0.7361111111220251,0.15916874154304597,0.4114985942364895,0.713198009863809,0.14799367512163258,0.35939680457100487,0.6752333131478337
0.21158787500814252,0.47368516420245116,0.7368421052658863,0.159794550698597,0.41513961225437757,0.7153746701323457,0.14775982015262606,0.3613357806178396,0.6794267814319731
0.2132953251292788,0.47500047683761293,0.737500000000682,0.16045878187526041,0.4186084444390737,0.7173126094905529,0.14757903643067316,0.3633439036628903,0.6832945845561234
0.21488173410313505,0.47619071460916895,0.7380952380954087,0.16115458541748406,0.42190372130640647,0.7190475542771027,0.14744303575410414,0.3654030435765702,0.686855813860398
0.2163558395011422,0.47727284648204527,0.7386363636364063,0.16187636809244077,0.4250270564346403,0.7206089154937682,0.1473451655243234,0.367498502016568,0.690131399475525
0.21772621617047933,0.4782609291698693,0.7391304347826193,0.16261951157126878,0.427982239115933,0.7220209764300983,0.14728002409039398,0.36961823957890605,0.6931431528049158
0.21900109977070806,0.47916669646899085,0.739583333333336,0.16338016384771817,0.4307746102973496,0.7233038699171077,0.14724317977194462,0.37175230606236404,0.695912813450016
0.220188277551581,0.4800000149011616,0.7400000000000007,0.16415508246383914,0.4334105784352543,0.7244743715064267,0.14723096235955857,0.37389241491926045,0.6984613337428159
0.22129502773620924,0.4807692382198115,0.7403846153846155,0.16494151512871694,0.43589724379265776,0.7255465359918507,0.14724030618039302,0.3760316221078756,0.7008085397184728
0.22232809346192542,0.48148148520677175,0.7407407407407407,0.16573710772276873,0.43824210795707425,0.7265322060342045,0.14726863043966648,0.3781640796572329,0.7029729111947628
